[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/node_modules/.vite/deps/chunk-NUMECXU6.js?v=c3e6c4b8 → 200 (195ms, 928095B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/node_modules/.vite/deps/react-router-dom.js?v=c3e6c4b8 → 200 (79ms, 209661B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/components/Layout.jsx → 200 (66ms, 7049B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/pages/Dashboard.jsx → 200 (74ms, 46624B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/pages/Services.jsx → 200 (99ms, 45428B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/pages/ha/Groups.jsx → 200 (122ms, 39968B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/pages/ha/Sync.jsx → 200 (187ms, 111642B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/pages/ha/Sequence.jsx → 200 (187ms, 96208B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/pages/servers/List.jsx → 200 (187ms, 116705B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/pages/Db.jsx → 200 (182ms, 31453B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/pages/Sw.jsx → 200 (187ms, 71295B)
[2026-06-10T11:00:24.813Z] GET http://127.0.0.1:5173/src/pages/docker/Containers.jsx → 200 (187ms, 30538B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/docker/Images.jsx → 200 (188ms, 26836B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/Runbook.jsx → 200 (189ms, 63686B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/Inspection.jsx → 200 (189ms, 50134B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/Reports.jsx → 200 (189ms, 27755B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/alerts/Alerts.jsx → 200 (195ms, 22343B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/alerts/Config.jsx → 200 (190ms, 41148B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/settings/Clusters.jsx → 200 (190ms, 31980B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/settings/Agents.jsx → 200 (189ms, 48066B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/settings/System.jsx → 200 (190ms, 38605B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/ClusterDetail.jsx → 200 (196ms, 87966B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/ClusterSettings.jsx → 200 (211ms, 111163B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/Topology.jsx → 200 (196ms, 150761B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/AlertCenter.jsx → 200 (195ms, 39947B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/AuditLog.jsx → 200 (195ms, 24331B)
[2026-06-10T11:00:24.814Z] GET http://127.0.0.1:5173/src/pages/AiAnalysis.jsx → 200 (195ms, 53795B)
[2026-06-10T11:00:24.881Z] GET http://127.0.0.1:5173/src/components/Sidebar.jsx → 200 (129ms, 31542B)
[2026-06-10T11:00:24.881Z] GET http://127.0.0.1:5173/src/components/Navbar.jsx → 200 (128ms, 18899B)
[2026-06-10T11:00:24.889Z] GET http://127.0.0.1:5173/src/api/client.js → 200 (121ms, 26313B)
[2026-06-10T11:00:24.891Z] GET http://127.0.0.1:5173/src/components/dashboard/StatusCards.jsx → 200 (119ms, 15645B)
[2026-06-10T11:00:24.891Z] GET http://127.0.0.1:5173/src/components/dashboard/SyncStatusPanel.jsx → 200 (133ms, 47608B)
[2026-06-10T11:00:24.891Z] GET http://127.0.0.1:5173/src/components/dashboard/ServiceStatusPanel.jsx → 200 (119ms, 11910B)
[2026-06-10T11:00:24.891Z] GET http://127.0.0.1:5173/src/components/dashboard/AlarmPanel.jsx → 200 (119ms, 10601B)
[2026-06-10T11:00:24.891Z] GET http://127.0.0.1:5173/src/components/dashboard/DbPanel.jsx → 200 (131ms, 9419B)
[2026-06-10T11:00:24.891Z] GET http://127.0.0.1:5173/src/components/dashboard/SwPanel.jsx → 200 (134ms, 10660B)
[2026-06-10T11:00:24.891Z] GET http://127.0.0.1:5173/src/components/dashboard/DockerPanel.jsx → 200 (131ms, 13625B)
[2026-06-10T11:00:24.891Z] GET http://127.0.0.1:5173/src/components/dashboard/RunbookProgressPanel.jsx → 200 (134ms, 18856B)
[2026-06-10T11:00:24.891Z] GET http://127.0.0.1:5173/src/components/dashboard/AiPanel.jsx → 200 (132ms, 13431B)
[2026-06-10T11:00:24.912Z] GET http://127.0.0.1:5173/node_modules/.vite/deps/lucide-react.js?v=c3e6c4b8 → 200 (142ms, ?B)
[2026-06-10T11:00:24.936Z] GET http://127.0.0.1:5173/src/lib/utils.js → 200 (90ms, 9676B)
[2026-06-10T11:00:25.026Z] GET http://127.0.0.1:5173/src/components/MetricsChart.jsx → 200 (9ms, 12492B)
